month,author,confidence,paper_summary,summary_of_strengths,summary_of_weaknesses,"comments,_suggestions_and_typos",overall_assessment,datasets,software,author_identity_guess,missed_assignments,count
2021- 05-01,Guoyin Wang,3.0,152.0,82.0,1208.0,152.0,2.0,1.0,1.0,4.0,0.0,No. of papers: 1
2021- 05-01,Hal Daumé III,4.0,653.0,219.0,474.0,4384.0,2.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Hannah Rashkin,4.0,653.0,524.0,2249.0,257.0,2.5,3.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Heike Adel,4.0,452.0,367.0,1727.0,1592.0,2.0,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Helmut Schmid,3.0,960.0,273.0,548.0,888.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Ian Tenney,4.0,520.0,368.0,1214.5,374.0,2.25,1.0,2.0,1.0,0.0,No. of papers: 2
2021- 05-01,Ion Androutsopoulos,5.0,933.0,1545.0,4931.0,1046.0,2.5,3.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Irene Russo,4.0,638.0,4.0,195.0,152.0,1.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Ivan Habernal,3.0,793.0,404.0,965.0,828.0,3.0,4.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jacob Eisenstein,5.0,412.0,589.0,2210.0,1371.0,2.0,3.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jekaterina Novikova,4.0,710.0,284.0,658.0,2524.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jeremy Barnes,3.0,592.0,184.0,539.0,2928.0,2.0,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jey Han Lau,4.0,635.0,483.0,606.0,668.0,3.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jiatao Gu,3.0,449.0,221.0,557.0,586.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jieyu Zhao,3.0,494.0,142.0,1048.0,130.0,2.0,3.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jin Wang,5.0,333.0,511.0,155.0,173.0,3.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jin-Ge Yao,4.0,464.0,77.0,513.0,2015.0,2.0,1.0,1.0,4.0,0.0,No. of papers: 1
2021- 05-01,John Pavlopoulos,4.0,792.0,618.0,1045.0,848.0,3.0,4.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jonathan May,5.0,351.0,406.0,1259.0,3062.0,1.0,3.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Josep Crego,4.0,837.0,447.0,401.0,60.0,3.5,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Juan Pino,4.0,193.0,192.0,977.0,2309.0,2.0,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jun Araki,4.0,428.0,651.0,1799.0,560.0,2.5,1.0,1.0,4.0,0.0,No. of papers: 1
2021- 05-01,Jungo Kasai,4.0,624.0,561.0,1589.0,54.0,2.5,2.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Jörn Wübker,3.0,251.0,117.0,21.0,1.0,4.5,1.0,2.0,3.0,0.0,No. of papers: 1
2021- 05-01,Katsuhito Sudoh,4.0,426.0,76.0,321.0,3590.0,1.5,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Keh-Yih Su,5.0,925.0,150.0,1385.0,827.0,2.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Kehai Chen,4.0,163.0,32.0,1290.0,461.0,1.5,3.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Keisuke Sakaguchi,3.0,852.0,81.0,150.0,2797.0,2.5,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Kenji Imamura,4.0,661.0,319.0,1023.0,1077.0,2.0,3.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Kenneth Church,3.0,1800.0,86.0,3228.0,148.0,3.0,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Kyosuke Nishida,4.0,551.0,99.0,344.0,1049.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Leslie Barrett,4.0,1116.0,483.0,1336.0,4.0,2.0,3.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Li Dong,5.0,305.0,187.0,689.0,668.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Liangyou Li,4.0,317.0,149.0,260.0,1031.0,3.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Lifu Tu,3.0,320.0,580.0,801.0,302.0,3.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Lili Mou,4.0,371.0,250.0,617.0,265.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Luheng He,3.0,721.0,457.0,770.0,538.0,3.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Maarten Sap,4.0,415.0,335.0,1534.0,1023.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Makoto Miwa,4.0,245.0,320.0,613.0,1799.0,3.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Mamoru Komachi,4.5,465.0,370.5,1027.0,564.5,2.0,2.0,1.0,2.0,0.0,No. of papers: 2
2021- 05-01,Manex Agirrezabal,5.0,632.0,66.0,68.0,3405.0,2.0,3.0,3.0,4.0,0.0,No. of papers: 1
2021- 05-01,Manuel Mager,3.0,753.0,554.0,1150.0,1013.0,2.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Marcel Bollmann,3.0,415.0,557.0,710.0,1000.0,4.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Mark Fishel,4.0,1468.0,195.0,184.0,559.0,1.5,4.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Marti Hearst,4.0,635.0,785.0,984.0,1866.0,2.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Masaaki Nagata,4.0,1079.0,167.0,351.0,197.0,2.0,2.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Matt Gardner,4.0,1192.0,365.0,2439.0,471.0,2.5,3.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Meishan Zhang,4.0,669.0,162.0,251.0,160.0,3.5,3.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Mirella Lapata,4.0,620.0,215.0,953.5,1363.5,2.5,2.0,1.0,1.0,0.0,No. of papers: 2
2021- 05-01,Mo Yu,4.0,492.0,152.0,1294.0,120.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Mostafa Abdou,4.0,1146.0,554.0,300.0,361.0,2.5,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Muhao Chen,3.0,411.0,411.0,580.0,221.0,3.5,1.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Naoaki Okazaki,4.0,692.0,173.0,1303.0,1553.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Nathanael Chambers,4.0,524.0,659.0,2318.0,1385.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Nelson Liu,4.0,394.0,396.0,2223.0,94.0,2.0,1.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Nils Dycke,4.333333333333333,646.6666666666666,240.66666666666666,1567.3333333333333,1431.3333333333333,2.3333333333333335,2.3333333333333335,2.0,1.6666666666666667,0.0,No. of papers: 3
2021- 05-01,Ningyu Zhang,3.0,547.0,321.0,252.0,252.0,3.5,1.0,3.0,4.0,0.0,No. of papers: 1
2021- 05-01,Nizar Habash,4.0,295.0,90.0,179.0,2156.0,3.0,4.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Omer Levy,4.0,552.0,166.5,1162.0,347.5,2.25,2.5,1.0,1.0,0.0,No. of papers: 2
2021- 05-01,Patrick Simianer,4.0,985.0,312.0,318.0,391.0,3.0,1.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Peng Jin,4.0,520.0,142.0,560.0,67.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Peng Qi,4.0,901.0,774.0,1904.0,1032.0,4.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Peng Xu,3.5,458.0,303.0,755.0,390.5,3.5,1.0,4.0,4.0,0.0,No. of papers: 2
2021- 05-01,Pradeep Dasigi,4.0,1758.0,290.0,849.0,887.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Prokopis Prokopidis,4.0,974.0,1338.0,164.0,470.0,4.0,4.0,4.0,3.0,0.0,No. of papers: 1
2021- 05-01,Qun Liu,5.0,839.0,547.0,1010.0,75.0,1.5,2.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Rabih Zbib,4.0,2967.0,318.0,186.0,33.0,3.5,4.0,4.0,2.0,0.0,No. of papers: 1
2021- 05-01,Raj Dabre,4.0,600.0,499.0,460.0,3105.0,3.0,5.0,5.0,1.0,0.0,No. of papers: 1
2021- 05-01,Rajarshi Bhowmik,2.0,642.0,438.0,141.0,222.0,3.5,3.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Rakesh Gosangi,4.0,792.0,136.0,719.0,111.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Reinald Kim Amplayo,4.0,505.0,140.0,1636.0,174.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Reza Haf,3.0,446.0,236.0,1064.0,104.0,2.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Richard Johansson,4.0,428.0,67.0,283.0,854.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Rico Sennrich,4.0,838.0,503.0,2205.0,759.0,3.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Rob Goot,3.0,939.0,529.0,878.0,1075.0,4.0,4.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Roberto Navigli,5.0,998.0,655.0,334.0,2197.0,2.5,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Robin Jia,4.0,989.0,201.0,1238.0,446.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Roman Klinger,4.0,331.0,120.0,351.0,2359.0,4.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Roy Schwartz,4.0,517.0,324.0,1886.0,778.0,3.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Ruifeng Xu,5.0,424.0,292.0,1699.0,2.0,2.5,2.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Ryan Cotterell,4.0,946.0,66.0,134.0,42.0,2.0,4.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Sabrina Mielke,3.0,1081.0,864.0,4464.0,1023.0,4.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Sadid A. Hasan,4.0,202.0,292.0,960.0,110.0,2.5,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Sajad Sotudeh,4.0,499.0,671.0,1362.0,503.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Saku Sugawara,4.0,651.0,451.0,1740.0,240.0,2.0,1.0,1.0,4.0,0.0,No. of papers: 1
2021- 05-01,Sameer Bansal,3.0,819.0,867.0,4993.0,167.0,3.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Sara Stymne,3.0,951.0,424.0,1684.0,775.0,2.5,2.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Sarvnaz Karimi,4.0,342.0,177.0,607.0,1247.0,2.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Sean MacAvaney,3.0,623.0,868.0,1405.0,533.0,3.5,1.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Sebastian Gehrmann,4.5,417.5,223.5,2277.5,794.0,1.75,1.0,1.5,2.0,0.0,No. of papers: 2
2021- 05-01,Sebastian Ruder,4.0,552.0,467.5,4102.0,215.0,2.75,2.5,1.0,1.0,0.0,No. of papers: 2
2021- 05-01,Sheng Li,3.0,175.0,125.0,203.0,267.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Sheng Zhang,4.0,991.0,637.0,2128.0,395.0,3.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Shijie Wu,4.0,521.0,177.0,1200.0,249.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Shizhu He,4.0,564.0,352.0,522.0,95.0,2.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Shruti Rijhwani,5.0,806.0,710.0,2479.0,2727.0,3.0,3.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Shuly Wintner,3.0,830.0,245.0,1906.0,300.0,2.0,4.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Shuohang Wang,4.0,573.0,470.0,703.0,183.0,4.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Steven Schockaert,3.0,706.0,315.0,2739.0,332.0,2.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Sujian Li,3.0,375.0,213.0,464.0,273.0,2.5,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Suzan Verberne,3.0,212.0,181.0,417.0,2606.0,3.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Tao Li,3.0,266.0,286.0,1061.0,44.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Taylor Berg-Kirkpatrick,4.0,758.0,311.0,1532.0,2557.0,3.0,1.0,1.0,4.0,0.0,No. of papers: 1
2021- 05-01,Timo Baumann,4.0,346.0,172.0,1918.0,837.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Tommaso Caselli,4.0,993.0,185.0,1397.0,1693.0,3.0,1.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Tomoya Iwakura,3.0,571.0,473.0,2099.0,1509.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Tong Wang,4.0,262.0,192.0,262.0,131.0,3.0,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Torsten Zesch,5.0,302.0,69.0,2076.0,285.0,2.0,3.0,2.0,3.0,0.0,No. of papers: 1
2021- 05-01,Tushar Khot,4.0,904.0,362.0,764.0,2306.0,3.0,3.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Valerio Basile,4.0,508.0,702.0,959.0,198.0,2.0,3.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Vassilina Nikoulina,4.0,367.0,954.0,408.0,1086.0,2.5,4.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Vered Shwartz,4.0,941.0,360.0,48.0,1655.0,4.0,3.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Viktor Hangya,4.0,842.0,1057.0,2323.0,795.0,3.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Vinit Ravishankar,4.0,500.0,227.0,933.0,150.0,2.5,2.0,2.0,3.0,0.0,No. of papers: 1
2021- 05-01,Vivek Gupta,4.0,734.0,897.0,2420.0,286.0,3.0,2.0,5.0,1.0,0.0,No. of papers: 1
2021- 05-01,Vlad Niculae,4.0,819.0,196.0,4110.0,1880.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Wai Lam,4.0,397.0,153.0,418.0,699.0,2.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Wajdi Zaghouani,2.0,118.0,203.0,160.0,135.0,3.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Wanxiang Che,4.0,369.0,509.0,899.0,221.0,3.0,4.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Wei-Fan Chen,4.0,360.0,192.0,498.0,182.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Wenhan Xiong,4.0,514.0,349.0,859.0,313.0,3.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Wray Buntine,3.0,735.0,181.0,255.0,447.0,3.5,1.0,1.0,4.0,0.0,No. of papers: 1
2021- 05-01,Xi Lin,3.0,792.0,564.0,747.0,473.0,3.5,3.0,3.0,4.0,0.0,No. of papers: 1
2021- 05-01,Xiang Ren,3.0,297.0,279.0,1476.0,255.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Xiangyu Duan,4.0,687.0,357.0,447.0,185.0,2.5,4.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Xiaojun Quan,5.0,430.0,463.0,718.0,64.0,3.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Xu Jinan,4.0,660.0,191.0,35.0,554.0,3.5,4.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yan Zhang,4.0,373.0,313.0,554.0,361.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yang Gao,4.0,751.0,120.0,488.0,358.0,3.5,1.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yansong Feng,5.0,783.0,392.0,1748.0,517.0,3.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yejin Choi,4.0,1090.0,700.0,1406.0,1221.0,3.0,1.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yiming Cui,4.0,719.0,96.0,823.0,1330.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yoav Artzi,4.0,353.0,407.0,2118.0,90.0,2.0,3.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yoav Goldberg,4.0,678.0,711.0,582.0,1425.0,2.5,5.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yogarshi Vyas,4.0,1367.0,391.0,3419.0,801.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yonatan Belinkov,4.0,884.0,1216.0,1113.0,1874.0,3.5,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yonatan Bisk,4.0,641.0,311.0,1436.0,474.0,3.5,4.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yoon Kim,4.0,525.0,347.0,1293.0,1565.0,2.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Youzheng Wu,5.0,275.0,56.0,2053.0,173.0,2.5,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yova Kementchedjhieva,2.0,697.0,790.0,1028.0,2350.0,4.0,4.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yu Su,4.0,1052.0,485.0,2658.0,648.0,2.0,1.0,1.0,4.0,0.0,No. of papers: 1
2021- 05-01,Yu Wu,4.0,546.0,320.0,1525.0,245.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Yves Scherrer,3.0,539.0,155.0,906.0,787.0,3.0,4.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Zeerak Waseem,5.0,177.0,64.0,612.0,4981.0,2.0,3.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Zhaojiang Lin,4.0,665.0,194.0,981.0,15.0,2.0,4.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Zhe Gan,4.0,502.0,889.0,1322.0,132.0,4.0,1.0,4.0,4.0,0.0,No. of papers: 1
2021- 05-01,Zhenghua Li,4.0,882.0,803.0,1108.0,1161.0,2.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Zhiyuan Liu,4.0,635.0,621.0,410.0,269.0,4.0,4.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Zhuosheng Zhang,4.0,716.0,436.0,478.0,2727.0,2.0,1.0,1.0,3.0,0.0,No. of papers: 1
2021- 05-01,Zihan Liu,2.0,535.0,185.0,221.0,731.0,3.5,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Zuchao Li,4.0,453.0,123.0,1768.0,209.0,2.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,wenhu chen,4.0,925.0,774.0,1375.0,68.0,3.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,zhongyu wei,3.0,922.0,482.0,1356.0,30.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 07-01,Afra Alishahi,2.0,707.0,719.0,553.0,2.0,3.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 07-01,Akiko Eriguchi,4.0,737.0,354.0,542.0,1077.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 07-01,Alan Akbik,4.0,1726.0,332.0,3827.0,124.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 07-01,Alice Oh,4.0,914.0,486.0,1655.0,899.0,2.5,2.0,2.0,1.0,0.0,No. of papers: 1
2021- 07-01,Asad Sayeed,4.0,721.0,139.0,121.0,3.0,4.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 07-01,Bowei Zou,4.0,288.0,412.0,366.0,3175.0,2.0,1.0,3.0,5.0,0.0,No. of papers: 1
2021- 07-01,Can Xu,5.0,270.0,166.0,1150.0,3.0,2.0,3.0,5.0,1.0,0.0,No. of papers: 1
